0,0,0,0
700,35.58,44.01,35.01
900,56.79,56.35,42.85
1100,71.20,71.14,51.13
1300,77.05,78.79,65.17
1500,79.67,78.51,71.40
1700,84.45,85.29,78.62
1900,83.28,83.22,77.69
2100,85.21,85.15,80.44
2300,85.52,85.56,70.00
2500,85.27,85.62,83.08
